2017-08-29 17:36:37 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/application/env/{name:.*}],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EnvironmentMvcEndpoint.value(java.lang.String)
2017-08-29 17:36:37 [main] INFO  o.s.b.a.e.mvc.EndpointHandlerMapping - Mapped "{[/application/env || /application/env.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
2017-08-29 17:36:38 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/css/**'], Ant [pattern='/js/**'], Ant [pattern='/images/**'], Ant [pattern='/webjars/**'], Ant [pattern='/**/favicon.ico'], Ant [pattern='/error']]], []
2017-08-29 17:36:38 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/application/**'], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2a5fc9c2, org.springframework.security.web.context.SecurityContextPersistenceFilter@5e120317, org.springframework.security.web.header.HeaderWriterFilter@3cc7f8fb, org.springframework.web.filter.CorsFilter@21a2941f, org.springframework.security.web.authentication.logout.LogoutFilter@13a989f, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@2d1f5411, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@23246533, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@56c73520, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2265a46c, org.springframework.security.web.session.SessionManagementFilter@25b206a6, org.springframework.security.web.access.ExceptionTranslationFilter@417a0b51, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4b43cf55]
2017-08-29 17:36:38 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/**']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@45789ede, org.springframework.security.web.context.SecurityContextPersistenceFilter@2d5c072c, org.springframework.security.web.header.HeaderWriterFilter@5a3e74d7, org.springframework.security.web.authentication.logout.LogoutFilter@5e4be372, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@13e3eaf0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3bd66227, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@12e72146, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2120a820, org.springframework.security.web.session.SessionManagementFilter@5fe26048, org.springframework.security.web.access.ExceptionTranslationFilter@42fa9cdc, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3d837772]
2017-08-29 17:36:39 [main] INFO  o.s.u.f.SpringTemplateLoader - SpringTemplateLoader for FreeMarker: using resource loader [org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@30a33175: startup date [Tue Aug 29 17:36:29 CST 2017]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@767b9dc5] and template loader path [classpath:/templates/]
2017-08-29 17:36:39 [main] INFO  o.s.w.s.v.f.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2017-08-29 17:36:39 [main] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2017-08-29 17:36:39 [main] INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2017-08-29 17:36:39 [main] INFO  c.netflix.discovery.DiscoveryClient - Client configured to neither register nor query for data.
2017-08-29 17:36:39 [main] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1503999399357 with initial instances count: 0
2017-08-29 17:36:39 [main] INFO  c.n.e.DefaultEurekaServerContext - Initializing ...
2017-08-29 17:36:39 [main] WARN  c.n.eureka.cluster.PeerEurekaNodes - The replica size seems to be empty. Check the route 53 DNS Registry
